Indicator Code: CG0000
"Indicator Name: All Causes"
Export date: 10/29/2025 8:27:27 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-Y89"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CSA,Central and South America,BRA,Brazil,1979,Female,Age00,[0],78817.00000000,100.00000000,,6355.69712120,
CSA,Central and South America,BRA,Brazil,1979,Female,Age01_04,[1-4],16431.00000000,100.00000000,,239.36542160,
CSA,Central and South America,BRA,Brazil,1979,Female,Age05_09,[5-9],3672.00000000,100.00000000,,50.17284490,
CSA,Central and South America,BRA,Brazil,1979,Female,Age10_14,[10-14],2863.00000000,100.00000000,,42.00225929,
CSA,Central and South America,BRA,Brazil,1979,Female,Age15_19,[15-19],4528.00000000,100.00000000,,67.68108577,
CSA,Central and South America,BRA,Brazil,1979,Female,Age20_24,[20-24],5473.00000000,100.00000000,,95.05201549,
CSA,Central and South America,BRA,Brazil,1979,Female,Age25_29,[25-29],5616.00000000,100.00000000,,114.43708609,
CSA,Central and South America,BRA,Brazil,1979,Female,Age30_34,[30-34],6336.00000000,100.00000000,,159.98384002,
CSA,Central and South America,BRA,Brazil,1979,Female,Age35_39,[35-39],7684.00000000,100.00000000,,243.77399194,
CSA,Central and South America,BRA,Brazil,1979,Female,Age40_44,[40-44],9214.00000000,100.00000000,,333.93737315,
CSA,Central and South America,BRA,Brazil,1979,Female,Age45_49,[45-49],10552.00000000,100.00000000,,453.42041939,
CSA,Central and South America,BRA,Brazil,1979,Female,Age50_54,[50-54],12489.00000000,100.00000000,,611.09751921,
CSA,Central and South America,BRA,Brazil,1979,Female,Age55_59,[55-59],13665.00000000,100.00000000,,819.98199820,
CSA,Central and South America,BRA,Brazil,1979,Female,Age60_64,[60-64],16552.00000000,100.00000000,,1289.79973510,
CSA,Central and South America,BRA,Brazil,1979,Female,Age65_69,[65-69],20429.00000000,100.00000000,,1975.53428100,
CSA,Central and South America,BRA,Brazil,1979,Female,Age70_74,[70-74],23847.00000000,100.00000000,,3431.71679380,
CSA,Central and South America,BRA,Brazil,1979,Female,Age75_79,[75-79],25006.00000000,100.00000000,,5455.06108200,
CSA,Central and South America,BRA,Brazil,1979,Female,Age80_84,[80-84],17404.00000000,100.00000000,,8985.02839440,
CSA,Central and South America,BRA,Brazil,1979,Female,Age85_over,[85+],18773.00000000,100.00000000,,13544.73304500,
CSA,Central and South America,BRA,Brazil,1980,Female,Age00,[0],78494.00000000,100.00000000,,6149.15785350,
CSA,Central and South America,BRA,Brazil,1980,Female,Age01_04,[1-4],16701.00000000,100.00000000,,238.06197793,
CSA,Central and South America,BRA,Brazil,1980,Female,Age05_09,[5-9],3687.00000000,100.00000000,,49.23943963,
CSA,Central and South America,BRA,Brazil,1980,Female,Age10_14,[10-14],3070.00000000,100.00000000,,44.02127934,
CSA,Central and South America,BRA,Brazil,1980,Female,Age15_19,[15-19],4687.00000000,100.00000000,,68.47433856,
CSA,Central and South America,BRA,Brazil,1980,Female,Age20_24,[20-24],5449.00000000,100.00000000,,92.49702937,
CSA,Central and South America,BRA,Brazil,1980,Female,Age25_29,[25-29],5852.00000000,100.00000000,,116.55048795,
CSA,Central and South America,BRA,Brazil,1980,Female,Age30_34,[30-34],6542.00000000,100.00000000,,161.45113524,
CSA,Central and South America,BRA,Brazil,1980,Female,Age35_39,[35-39],8050.00000000,100.00000000,,249.61240310,
CSA,Central and South America,BRA,Brazil,1980,Female,Age40_44,[40-44],9662.00000000,100.00000000,,342.26000708,
CSA,Central and South America,BRA,Brazil,1980,Female,Age45_49,[45-49],10898.00000000,100.00000000,,457.70684586,
CSA,Central and South America,BRA,Brazil,1980,Female,Age50_54,[50-54],13135.00000000,100.00000000,,628.16834051,
CSA,Central and South America,BRA,Brazil,1980,Female,Age55_59,[55-59],14682.00000000,100.00000000,,861.11436950,
CSA,Central and South America,BRA,Brazil,1980,Female,Age60_64,[60-64],17464.00000000,100.00000000,,1330.08377760,
CSA,Central and South America,BRA,Brazil,1980,Female,Age65_69,[65-69],21852.00000000,100.00000000,,2065.40642720,
CSA,Central and South America,BRA,Brazil,1980,Female,Age70_74,[70-74],25836.00000000,100.00000000,,3633.75527430,
CSA,Central and South America,BRA,Brazil,1980,Female,Age75_79,[75-79],27616.00000000,100.00000000,,5888.27292110,
CSA,Central and South America,BRA,Brazil,1980,Female,Age80_84,[80-84],20617.00000000,100.00000000,,10407.37001500,
CSA,Central and South America,BRA,Brazil,1980,Female,Age85_over,[85+],21814.00000000,100.00000000,,15372.79774500,
CSA,Central and South America,BRA,Brazil,1981,Female,Age00,[0],74784.00000000,100.00000000,,5646.20611550,
CSA,Central and South America,BRA,Brazil,1981,Female,Age01_04,[1-4],14558.00000000,100.00000000,,203.38935692,
CSA,Central and South America,BRA,Brazil,1981,Female,Age05_09,[5-9],3559.00000000,100.00000000,,46.46396073,
CSA,Central and South America,BRA,Brazil,1981,Female,Age10_14,[10-14],2899.00000000,100.00000000,,40.63638912,
CSA,Central and South America,BRA,Brazil,1981,Female,Age15_19,[15-19],4642.00000000,100.00000000,,66.29534419,
CSA,Central and South America,BRA,Brazil,1981,Female,Age20_24,[20-24],5547.00000000,100.00000000,,92.04805682,
CSA,Central and South America,BRA,Brazil,1981,Female,Age25_29,[25-29],5878.00000000,100.00000000,,114.44258401,
CSA,Central and South America,BRA,Brazil,1981,Female,Age30_34,[30-34],6679.00000000,100.00000000,,161.13389626,
CSA,Central and South America,BRA,Brazil,1981,Female,Age35_39,[35-39],7811.00000000,100.00000000,,236.76871779,
CSA,Central and South America,BRA,Brazil,1981,Female,Age40_44,[40-44],9416.00000000,100.00000000,,326.06136159,
CSA,Central and South America,BRA,Brazil,1981,Female,Age45_49,[45-49],10811.00000000,100.00000000,,443.87419938,
CSA,Central and South America,BRA,Brazil,1981,Female,Age50_54,[50-54],13487.00000000,100.00000000,,630.52828424,
CSA,Central and South America,BRA,Brazil,1981,Female,Age55_59,[55-59],14975.00000000,100.00000000,,858.60902471,
CSA,Central and South America,BRA,Brazil,1981,Female,Age60_64,[60-64],17539.00000000,100.00000000,,1305.85957860,
CSA,Central and South America,BRA,Brazil,1981,Female,Age65_69,[65-69],22321.00000000,100.00000000,,2062.36718100,
CSA,Central and South America,BRA,Brazil,1981,Female,Age70_74,[70-74],26252.00000000,100.00000000,,3609.51464320,
CSA,Central and South America,BRA,Brazil,1981,Female,Age75_79,[75-79],28077.00000000,100.00000000,,5851.81325550,
CSA,Central and South America,BRA,Brazil,1981,Female,Age80_84,[80-84],22656.00000000,100.00000000,,11177.10902800,
CSA,Central and South America,BRA,Brazil,1981,Female,Age85_over,[85+],22139.00000000,100.00000000,,15257.75327400,
CSA,Central and South America,BRA,Brazil,1982,Female,Age00,[0],70761.00000000,100.00000000,,5107.62234730,
CSA,Central and South America,BRA,Brazil,1982,Female,Age01_04,[1-4],12836.00000000,100.00000000,,176.07923291,
CSA,Central and South America,BRA,Brazil,1982,Female,Age05_09,[5-9],3385.00000000,100.00000000,,43.20853704,
CSA,Central and South America,BRA,Brazil,1982,Female,Age10_14,[10-14],2803.00000000,100.00000000,,38.41620525,
CSA,Central and South America,BRA,Brazil,1982,Female,Age15_19,[15-19],4385.00000000,100.00000000,,61.23104421,
CSA,Central and South America,BRA,Brazil,1982,Female,Age20_24,[20-24],5417.00000000,100.00000000,,87.88980108,
CSA,Central and South America,BRA,Brazil,1982,Female,Age25_29,[25-29],5779.00000000,100.00000000,,110.00913729,
CSA,Central and South America,BRA,Brazil,1982,Female,Age30_34,[30-34],6557.00000000,100.00000000,,154.66811341,
CSA,Central and South America,BRA,Brazil,1982,Female,Age35_39,[35-39],7535.00000000,100.00000000,,223.31881094,
CSA,Central and South America,BRA,Brazil,1982,Female,Age40_44,[40-44],9227.00000000,100.00000000,,312.40900626,
CSA,Central and South America,BRA,Brazil,1982,Female,Age45_49,[45-49],10569.00000000,100.00000000,,424.27040263,
CSA,Central and South America,BRA,Brazil,1982,Female,Age50_54,[50-54],13267.00000000,100.00000000,,606.43598300,
CSA,Central and South America,BRA,Brazil,1982,Female,Age55_59,[55-59],15094.00000000,100.00000000,,846.17109541,
CSA,Central and South America,BRA,Brazil,1982,Female,Age60_64,[60-64],17696.00000000,100.00000000,,1288.19975250,
CSA,Central and South America,BRA,Brazil,1982,Female,Age65_69,[65-69],22079.00000000,100.00000000,,1994.66979850,
CSA,Central and South America,BRA,Brazil,1982,Female,Age70_74,[70-74],25768.00000000,100.00000000,,3463.90643900,
CSA,Central and South America,BRA,Brazil,1982,Female,Age75_79,[75-79],28447.00000000,100.00000000,,5797.22844920,
CSA,Central and South America,BRA,Brazil,1982,Female,Age80_84,[80-84],23425.00000000,100.00000000,,11300.04823900,
CSA,Central and South America,BRA,Brazil,1982,Female,Age85_over,[85+],22331.00000000,100.00000000,,15047.84366600,
