Indicator Code: CG0000
"Indicator Name: All Causes"
Export date: 10/29/2025 8:26:10 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-Y89"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CSA,Central and South America,BRA,Brazil,1979,Male,Age00,[0],102206.00000000,100.00000000,,8014.89962360,
CSA,Central and South America,BRA,Brazil,1979,Male,Age01_04,[1-4],17993.00000000,100.00000000,,258.54611814,
CSA,Central and South America,BRA,Brazil,1979,Male,Age05_09,[5-9],5099.00000000,100.00000000,,69.30060616,
CSA,Central and South America,BRA,Brazil,1979,Male,Age10_14,[10-14],4418.00000000,100.00000000,,64.20765027,
CSA,Central and South America,BRA,Brazil,1979,Male,Age15_19,[15-19],8350.00000000,100.00000000,,123.67072484,
CSA,Central and South America,BRA,Brazil,1979,Male,Age20_24,[20-24],11605.00000000,100.00000000,,200.73339906,
CSA,Central and South America,BRA,Brazil,1979,Male,Age25_29,[25-29],11563.00000000,100.00000000,,235.71020874,
CSA,Central and South America,BRA,Brazil,1979,Male,Age30_34,[30-34],11692.00000000,100.00000000,,294.49398015,
CSA,Central and South America,BRA,Brazil,1979,Male,Age35_39,[35-39],13603.00000000,100.00000000,,430.21600936,
CSA,Central and South America,BRA,Brazil,1979,Male,Age40_44,[40-44],16218.00000000,100.00000000,,588.61104054,
CSA,Central and South America,BRA,Brazil,1979,Male,Age45_49,[45-49],18961.00000000,100.00000000,,821.67620038,
CSA,Central and South America,BRA,Brazil,1979,Male,Age50_54,[50-54],21632.00000000,100.00000000,,1076.48668820,
CSA,Central and South America,BRA,Brazil,1979,Male,Age55_59,[55-59],23351.00000000,100.00000000,,1441.77574710,
CSA,Central and South America,BRA,Brazil,1979,Male,Age60_64,[60-64],25757.00000000,100.00000000,,2096.45124530,
CSA,Central and South America,BRA,Brazil,1979,Male,Age65_69,[65-69],29058.00000000,100.00000000,,3006.20732460,
CSA,Central and South America,BRA,Brazil,1979,Male,Age70_74,[70-74],30281.00000000,100.00000000,,4795.85049100,
CSA,Central and South America,BRA,Brazil,1979,Male,Age75_79,[75-79],26034.00000000,100.00000000,,6464.86218030,
CSA,Central and South America,BRA,Brazil,1979,Male,Age80_84,[80-84],15648.00000000,100.00000000,,9353.25762100,
CSA,Central and South America,BRA,Brazil,1979,Male,Age85_over,[85+],12223.00000000,100.00000000,,11596.77419400,
CSA,Central and South America,BRA,Brazil,1980,Male,Age00,[0],101097.00000000,100.00000000,,7697.35038830,
CSA,Central and South America,BRA,Brazil,1980,Male,Age01_04,[1-4],17876.00000000,100.00000000,,251.36750334,
CSA,Central and South America,BRA,Brazil,1980,Male,Age05_09,[5-9],5057.00000000,100.00000000,,67.17676909,
CSA,Central and South America,BRA,Brazil,1980,Male,Age10_14,[10-14],4643.00000000,100.00000000,,65.95264137,
CSA,Central and South America,BRA,Brazil,1980,Male,Age15_19,[15-19],9121.00000000,100.00000000,,132.03723273,
CSA,Central and South America,BRA,Brazil,1980,Male,Age20_24,[20-24],12707.00000000,100.00000000,,214.82671175,
CSA,Central and South America,BRA,Brazil,1980,Male,Age25_29,[25-29],12788.00000000,100.00000000,,254.79179119,
CSA,Central and South America,BRA,Brazil,1980,Male,Age30_34,[30-34],12762.00000000,100.00000000,,314.18020679,
CSA,Central and South America,BRA,Brazil,1980,Male,Age35_39,[35-39],14237.00000000,100.00000000,,440.09273570,
CSA,Central and South America,BRA,Brazil,1980,Male,Age40_44,[40-44],17163.00000000,100.00000000,,608.83291947,
CSA,Central and South America,BRA,Brazil,1980,Male,Age45_49,[45-49],19461.00000000,100.00000000,,824.26937738,
CSA,Central and South America,BRA,Brazil,1980,Male,Age50_54,[50-54],23016.00000000,100.00000000,,1119.45525290,
CSA,Central and South America,BRA,Brazil,1980,Male,Age55_59,[55-59],25038.00000000,100.00000000,,1511.04405550,
CSA,Central and South America,BRA,Brazil,1980,Male,Age60_64,[60-64],26922.00000000,100.00000000,,2141.76610980,
CSA,Central and South America,BRA,Brazil,1980,Male,Age65_69,[65-69],31091.00000000,100.00000000,,3143.68048530,
CSA,Central and South America,BRA,Brazil,1980,Male,Age70_74,[70-74],32449.00000000,100.00000000,,5023.06501550,
CSA,Central and South America,BRA,Brazil,1980,Male,Age75_79,[75-79],29075.00000000,100.00000000,,7057.03883500,
