Indicator Code: CG0000
"Indicator Name: All Causes"
Export date: 10/29/2025 8:24:07 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-Y89"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age00,[0],10782.00000000,100.00000000,,2707.00477030,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age01_04,[1-4],2267.00000000,100.00000000,,132.07107486,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age05_09,[5-9],948.00000000,100.00000000,,53.86669697,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age10_14,[10-14],676.00000000,100.00000000,,41.21951220,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age15_19,[15-19],1364.00000000,100.00000000,,83.39957200,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age20_24,[20-24],2099.00000000,100.00000000,,119.32916430,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age25_29,[25-29],2856.00000000,100.00000000,,147.56639454,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age30_34,[30-34],2863.00000000,100.00000000,,162.17287867,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age35_39,[35-39],4046.00000000,100.00000000,,206.10259284,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age40_44,[40-44],5402.00000000,100.00000000,,277.83778224,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age45_49,[45-49],8066.00000000,100.00000000,,441.24726477,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age50_54,[50-54],11031.00000000,100.00000000,,657.46811301,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age55_59,[55-59],15079.00000000,100.00000000,,1005.46776020,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age60_64,[60-64],21894.00000000,100.00000000,,1628.16985200,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age65_69,[65-69],31247.00000000,100.00000000,,2687.91397850,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age70_74,[70-74],42646.00000000,100.00000000,,4644.52189070,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age75_79,[75-79],48591.00000000,100.00000000,,8072.93570360,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age80_84,[80-84],41266.00000000,100.00000000,,13234.76587600,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Female,Age85_over,[85+],35631.00000000,100.00000000,,22048.88613900,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age00,[0],10394.00000000,100.00000000,,2711.00678140,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age01_04,[1-4],2277.00000000,100.00000000,,131.36791092,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age05_09,[5-9],853.00000000,100.00000000,,46.66557252,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age10_14,[10-14],634.00000000,100.00000000,,39.08272716,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age15_19,[15-19],1092.00000000,100.00000000,,67.75874907,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age20_24,[20-24],1672.00000000,100.00000000,,96.59156557,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age25_29,[25-29],2333.00000000,100.00000000,,123.81912748,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age30_34,[30-34],2747.00000000,100.00000000,,152.15464717,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age35_39,[35-39],3832.00000000,100.00000000,,199.68733715,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age40_44,[40-44],5439.00000000,100.00000000,,280.30303030,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age45_49,[45-49],8027.00000000,100.00000000,,431.55913978,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age50_54,[50-54],11378.00000000,100.00000000,,669.53042250,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age55_59,[55-59],15769.00000000,100.00000000,,1035.66268230,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age60_64,[60-64],22897.00000000,100.00000000,,1675.83985950,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age65_69,[65-69],33861.00000000,100.00000000,,2855.54056330,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age70_74,[70-74],46490.00000000,100.00000000,,4925.30988450,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age75_79,[75-79],53731.00000000,100.00000000,,8592.83543900,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age80_84,[80-84],46192.00000000,100.00000000,,14489.33500600,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Female,Age85_over,[85+],39439.00000000,100.00000000,,25072.47298200,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age00,[0],9701.00000000,100.00000000,,2589.00453700,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age01_04,[1-4],1751.00000000,100.00000000,,107.91322569,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age05_09,[5-9],836.00000000,100.00000000,,42.22008989,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age10_14,[10-14],566.00000000,100.00000000,,34.85650942,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age15_19,[15-19],888.00000000,100.00000000,,55.25824518,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age20_24,[20-24],1380.00000000,100.00000000,,80.62160425,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age25_29,[25-29],1887.00000000,100.00000000,,103.19934372,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age30_34,[30-34],2369.00000000,100.00000000,,127.17414645,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age35_39,[35-39],3213.00000000,100.00000000,,172.58419724,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age40_44,[40-44],5037.00000000,100.00000000,,260.37735849,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Female,Age45_49,[45-49],7464.00000000,100.00000000,,398.80316307,
