Indicator Code: CG0000
"Indicator Name: All Causes"
Export date: 10/29/2025 8:23:02 PM
Source location: "WHO Mortality Database portal"
"Indicator metadata: A00-Y89"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age00,[0],14770.00000000,100.00000000,,3539.42008150,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age01_04,[1-4],2721.00000000,100.00000000,,151.11629457,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age05_09,[5-9],1393.00000000,100.00000000,,75.80127333,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age10_14,[10-14],962.00000000,100.00000000,,56.72504275,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age15_19,[15-19],1651.00000000,100.00000000,,104.45400481,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age20_24,[20-24],2439.00000000,100.00000000,,141.28482882,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age25_29,[25-29],3192.00000000,100.00000000,,166.24134160,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age30_34,[30-34],3121.00000000,100.00000000,,180.82271147,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age35_39,[35-39],4581.00000000,100.00000000,,238.64346739,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age40_44,[40-44],6957.00000000,100.00000000,,364.81384373,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age45_49,[45-49],11380.00000000,100.00000000,,657.53741261,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age50_54,[50-54],15740.00000000,100.00000000,,1078.89505790,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age55_59,[55-59],21925.00000000,100.00000000,,1779.91557070,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age60_64,[60-64],30728.00000000,100.00000000,,2856.55852000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age65_69,[65-69],38627.00000000,100.00000000,,4334.26840220,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age70_74,[70-74],45513.00000000,100.00000000,,6695.05736980,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age75_79,[75-79],44887.00000000,100.00000000,,10589.05402200,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age80_84,[80-84],31443.00000000,100.00000000,,16453.68916800,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1950,Male,Age85_over,[85+],19349.00000000,100.00000000,,25392.38845100,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age00,[0],14393.00000000,100.00000000,,3555.58300400,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age01_04,[1-4],2726.00000000,100.00000000,,149.96974198,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age05_09,[5-9],1321.00000000,100.00000000,,69.08273193,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age10_14,[10-14],954.00000000,100.00000000,,56.97903602,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age15_19,[15-19],1436.00000000,100.00000000,,91.96285623,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age20_24,[20-24],2275.00000000,100.00000000,,138.76181763,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age25_29,[25-29],2829.00000000,100.00000000,,153.06784980,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age30_34,[30-34],3136.00000000,100.00000000,,179.67228143,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age35_39,[35-39],4395.00000000,100.00000000,,238.21138211,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age40_44,[40-44],6956.00000000,100.00000000,,368.92071069,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age45_49,[45-49],11496.00000000,100.00000000,,648.50228465,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age50_54,[50-54],17246.00000000,100.00000000,,1156.05309020,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age55_59,[55-59],23229.00000000,100.00000000,,1882.87265950,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age60_64,[60-64],33034.00000000,100.00000000,,3097.42147210,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age65_69,[65-69],42274.00000000,100.00000000,,4778.88311100,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age70_74,[70-74],49510.00000000,100.00000000,,7325.04808400,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age75_79,[75-79],50203.00000000,100.00000000,,11724.19430200,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age80_84,[80-84],34921.00000000,100.00000000,,18093.78238300,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1951,Male,Age85_over,[85+],21394.00000000,100.00000000,,30606.58083000,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Male,Age00,[0],13152.00000000,100.00000000,,3352.53632420,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Male,Age01_04,[1-4],2307.00000000,100.00000000,,135.50660793,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Male,Age05_09,[5-9],1239.00000000,100.00000000,,59.76556847,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Male,Age10_14,[10-14],842.00000000,100.00000000,,50.10711735,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Male,Age15_19,[15-19],1406.00000000,100.00000000,,90.38313191,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Male,Age20_24,[20-24],2152.00000000,100.00000000,,133.83084577,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Male,Age25_29,[25-29],2359.00000000,100.00000000,,131.25243421,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Male,Age30_34,[30-34],2946.00000000,100.00000000,,162.97853507,
EU,Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1952,Male,Age35_39,[35-39],4036.00000000,100.00000000,,225.79020979,
